,seqno,send.timestamp,receive.timestamp,gtp.out.timestamp,gtp.out.length,gtp.out.sn,sdap.sdu.timestamp,sdap.sdu.length,pdcp.decoded.timestamp,pdcp.decoded.length,rlc.reassembled.0.rlc.reassembled.MRbuf,rlc.reassembled.0.rlc.reassembled.timestamp,rlc.reassembled.0.rlc.reassembled.length,rlc.reassembled.0.rlc.decoded.lcid,rlc.reassembled.0.rlc.decoded.hqpid,rlc.reassembled.0.rlc.decoded.frame,rlc.reassembled.0.rlc.decoded.slot,rlc.reassembled.0.rlc.decoded.timestamp,rlc.reassembled.0.rlc.decoded.length,rlc.reassembled.0.mac.demuxed.frame,rlc.reassembled.0.mac.demuxed.slot,rlc.reassembled.0.mac.demuxed.ldpciter,rlc.reassembled.0.mac.demuxed.mcs,rlc.reassembled.0.mac.demuxed.hqpid,rlc.reassembled.0.mac.demuxed.hqround,rlc.reassembled.0.mac.demuxed.timestamp,rlc.reassembled.0.mac.demuxed.length,rlc.reassembled.0.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.1.rlc.reassembled.MRbuf,rlc.reassembled.1.rlc.reassembled.timestamp,rlc.reassembled.1.rlc.reassembled.length,rlc.reassembled.1.rlc.decoded.lcid,rlc.reassembled.1.rlc.decoded.hqpid,rlc.reassembled.1.rlc.decoded.frame,rlc.reassembled.1.rlc.decoded.slot,rlc.reassembled.1.rlc.decoded.timestamp,rlc.reassembled.1.rlc.decoded.length,rlc.reassembled.1.mac.demuxed.frame,rlc.reassembled.1.mac.demuxed.slot,rlc.reassembled.1.mac.demuxed.ldpciter,rlc.reassembled.1.mac.demuxed.mcs,rlc.reassembled.1.mac.demuxed.hqpid,rlc.reassembled.1.mac.demuxed.hqround,rlc.reassembled.1.mac.demuxed.timestamp,rlc.reassembled.1.mac.demuxed.length,rlc.reassembled.1.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.2.rlc.reassembled.MRbuf,rlc.reassembled.2.rlc.reassembled.timestamp,rlc.reassembled.2.rlc.reassembled.length,rlc.reassembled.2.rlc.decoded.lcid,rlc.reassembled.2.rlc.decoded.hqpid,rlc.reassembled.2.rlc.decoded.frame,rlc.reassembled.2.rlc.decoded.slot,rlc.reassembled.2.rlc.decoded.timestamp,rlc.reassembled.2.rlc.decoded.length,rlc.reassembled.2.mac.demuxed.frame,rlc.reassembled.2.mac.demuxed.slot,rlc.reassembled.2.mac.demuxed.ldpciter,rlc.reassembled.2.mac.demuxed.mcs,rlc.reassembled.2.mac.demuxed.hqpid,rlc.reassembled.2.mac.demuxed.hqround,rlc.reassembled.2.mac.demuxed.timestamp,rlc.reassembled.2.mac.demuxed.length,rlc.reassembled.2.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.2.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.2.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.2.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.2.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.0.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.1.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.2.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.2.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.2.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.2.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.2.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.3.rlc.reassembled.MRbuf,rlc.reassembled.3.rlc.reassembled.timestamp,rlc.reassembled.3.rlc.reassembled.length,rlc.reassembled.3.rlc.decoded.lcid,rlc.reassembled.3.rlc.decoded.hqpid,rlc.reassembled.3.rlc.decoded.frame,rlc.reassembled.3.rlc.decoded.slot,rlc.reassembled.3.rlc.decoded.timestamp,rlc.reassembled.3.rlc.decoded.length,rlc.reassembled.3.mac.demuxed.frame,rlc.reassembled.3.mac.demuxed.slot,rlc.reassembled.3.mac.demuxed.ldpciter,rlc.reassembled.3.mac.demuxed.mcs,rlc.reassembled.3.mac.demuxed.hqpid,rlc.reassembled.3.mac.demuxed.hqround,rlc.reassembled.3.mac.demuxed.timestamp,rlc.reassembled.3.mac.demuxed.length,rlc.reassembled.3.mac.demuxed.mac.decoded.0.timestamp,rlc.reassembled.3.mac.demuxed.mac.decoded.0.frame,rlc.reassembled.3.mac.demuxed.mac.decoded.0.slot,rlc.reassembled.3.mac.demuxed.mac.decoded.0.hqpid,rlc.reassembled.3.mac.demuxed.mac.decoded.0.hqround,rlc.reassembled.3.mac.demuxed.mac.decoded.1.timestamp,rlc.reassembled.3.mac.demuxed.mac.decoded.1.frame,rlc.reassembled.3.mac.demuxed.mac.decoded.1.slot,rlc.reassembled.3.mac.demuxed.mac.decoded.1.hqpid,rlc.reassembled.3.mac.demuxed.mac.decoded.1.hqround,rlc.reassembled.0.mac.demuxed.mac.decoded.2.timestamp,rlc.reassembled.0.mac.demuxed.mac.decoded.2.frame,rlc.reassembled.0.mac.demuxed.mac.decoded.2.slot,rlc.reassembled.0.mac.demuxed.mac.decoded.2.hqpid,rlc.reassembled.0.mac.demuxed.mac.decoded.2.hqround,rlc.reassembled.1.mac.demuxed.mac.decoded.2.timestamp,rlc.reassembled.1.mac.demuxed.mac.decoded.2.frame,rlc.reassembled.1.mac.demuxed.mac.decoded.2.slot,rlc.reassembled.1.mac.demuxed.mac.decoded.2.hqpid,rlc.reassembled.1.mac.demuxed.mac.decoded.2.hqround
1,0,1722015960.4721777,1722015960.4865055,1722015960.486439,128,1,1722015960.486436,128,1722015960.486426,131,1931185666,1722015960.486424,100,4,13,4,7,1722015960.486424,105,4,7,3,9,13,0,1722015960.486423,120,1722015960.486326,4,7,13,0,1931185671,1722015960.481415,31,4,12,3,17,1722015960.481415,34,3,17,3,9,12,0,1722015960.481412,60,1722015960.481335,3,17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1722015960.4923208,1722015960.5115016,1722015960.511451,128,2,1722015960.511447,128,1722015960.51144,131,1931185666,1722015960.51144,95,4,15,6,17,1722015960.51144,100,6,17,3,9,15,0,1722015960.511439,120,1722015960.511345,6,17,15,0,1931185666,1722015960.506435,36,4,15,6,17,1722015960.51144,100,6,17,3,9,15,0,1722015960.511439,120,1722015960.511345,6,17,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,1722015960.5124698,1722015960.5715165,1722015960.571445,128,3,1722015960.571444,128,1722015960.57143,131,1931185666,1722015960.57143,95,4,5,12,17,1722015960.57143,100,12,17,3,10,5,0,1722015960.571429,110,1722015960.571359,12,17,5,0,1931185666,1722015960.526404,36,4,5,12,17,1722015960.57143,100,12,17,3,10,5,0,1722015960.571429,110,1722015960.571359,12,17,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,1722015960.5527532,1722015960.5764549,1722015960.576422,128,5,1722015960.57642,128,1722015960.576414,131,1931185666,1722015960.576413,95,4,6,13,7,1722015960.576413,100,13,7,3,10,6,0,1722015960.576412,110,1722015960.576345,13,7,6,0,1931185666,1722015960.566351,36,4,6,13,7,1722015960.576413,100,13,7,3,10,6,0,1722015960.576412,110,1722015960.576345,13,7,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,1722015960.5728757,1722015960.591476,1722015960.591434,128,6,1722015960.591432,128,1722015960.591426,131,1931185666,1722015960.591426,95,4,7,14,17,1722015960.591425,100,14,17,3,10,7,0,1722015960.591424,110,1722015960.591354,14,17,7,0,1931185666,1722015960.586443,36,4,7,14,17,1722015960.591425,100,14,17,3,10,7,0,1722015960.591424,110,1722015960.591354,14,17,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,1722015960.592019,1722015960.6064947,1722015960.606455,128,7,1722015960.60645,128,1722015960.606443,131,1931185666,1722015960.606443,95,4,10,16,7,1722015960.606443,100,16,7,3,10,10,0,1722015960.606442,110,1722015960.606366,16,7,10,0,1931185666,1722015960.601411,36,4,10,16,7,1722015960.606443,100,16,7,3,10,10,0,1722015960.606442,110,1722015960.606366,16,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,1722015960.6121535,1722015960.626479,1722015960.626434,128,8,1722015960.626431,128,1722015960.626424,131,1931185666,1722015960.626424,95,4,12,18,7,1722015960.626423,100,18,7,3,10,12,0,1722015960.626422,110,1722015960.626338,18,7,12,0,1931185666,1722015960.621411,36,4,12,18,7,1722015960.626423,100,18,7,3,10,12,0,1722015960.626422,110,1722015960.626338,18,7,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,1722015960.6322906,1722015960.6464481,1722015960.646405,128,9,1722015960.646402,128,1722015960.646395,131,1931185666,1722015960.646395,95,4,14,20,7,1722015960.646395,100,20,7,3,10,14,0,1722015960.646394,110,1722015960.646333,20,7,14,0,1931185666,1722015960.641402,36,4,14,20,7,1722015960.646395,100,20,7,3,10,14,0,1722015960.646394,110,1722015960.646333,20,7,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9,1722015960.6524327,1722015960.67151,1722015960.671463,128,10,1722015960.671459,128,1722015960.671451,131,1931185666,1722015960.671451,95,4,0,22,17,1722015960.671449,100,22,17,3,11,0,0,1722015960.671447,110,1722015960.671348,22,17,0,0,1931185666,1722015960.66644,36,4,0,22,17,1722015960.671449,100,22,17,3,11,0,0,1722015960.671447,110,1722015960.671348,22,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,1722015960.6725724,1722015960.7416017,1722015960.741474,128,11,1722015960.741469,128,1722015960.741454,131,1931185666,1722015960.741453,61,4,7,29,17,1722015960.741453,66,29,17,4,11,7,0,1722015960.741452,220,1722015960.741332,29,17,7,0,1931185666,1722015960.736421,34,4,7,29,17,1722015960.741453,66,29,17,4,11,7,0,1722015960.741452,220,1722015960.741332,29,17,7,0,1931185666,1722015960.686444,36,4,7,29,17,1722015960.741453,66,29,17,4,11,7,0,1722015960.741452,220,1722015960.741332,29,17,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,1722015960.7320337,1722015960.751518,1722015960.751456,128,14,1722015960.751447,128,1722015960.75144,131,1931185695,1722015960.751438,3,4,10,30,17,1722015960.751438,8,30,17,3,11,10,0,1722015960.751436,70,1722015960.751355,30,17,10,0,1931185734,1722015960.741459,128,4,7,29,17,1722015960.741458,131,29,17,4,11,7,0,1722015960.741452,220,1722015960.741332,29,17,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
